,category,job_title,page_link,job_id,location,run_date
0,Advance + Scheduling,National Surrogate Intern ,https://boards.greenhouse.io/bernie2020/jobs/4533147002,4533147002,Washington DC,2020-Mar-06
1,Advance + Scheduling,National Surrogate Scheduling Intern ,https://boards.greenhouse.io/bernie2020/jobs/4534476002,4534476002,Washington DC,2020-Mar-06
2,All Departments,California Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274391002,4274391002,California ,2020-Mar-06
3,All Departments,Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4263816002,4263816002,"Washington, DC",2020-Mar-06
4,All Departments,General Application,https://boards.greenhouse.io/bernie2020/jobs/4231325002,4231325002,Multiple Locations,2020-Mar-06
5,All Departments,HQ Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274405002,4274405002,"Washington, DC",2020-Mar-06
6,All Departments,South Carolina Campaign Intern ,https://boards.greenhouse.io/bernie2020/jobs/4274430002,4274430002,South Carolina ,2020-Mar-06
7,All Departments,Vermont Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274440002,4274440002,Vermont,2020-Mar-06
8,Communications,California Spanish-Language Press,https://boards.greenhouse.io/bernie2020/jobs/4647106002,4647106002,California ,2020-Mar-06
9,Communications,Communications Intern,https://boards.greenhouse.io/bernie2020/jobs/4262445002,4262445002,"Washington, DC",2020-Mar-06
10,Communications,Graphic Design Associate,https://boards.greenhouse.io/bernie2020/jobs/4445765002,4445765002,"Washington, DC",2020-Mar-06
11,Communications,Social Media Intern,https://boards.greenhouse.io/bernie2020/jobs/4423804002,4423804002,"Washington, DC",2020-Mar-06
12,Data + Technology,Full Stack Engineer,https://boards.greenhouse.io/bernie2020/jobs/4244285002,4244285002,"Washington, DC or remote",2020-Mar-06
13,Data + Technology,IT Help Desk Specialist,https://boards.greenhouse.io/bernie2020/jobs/4517752002,4517752002,"Washington, DC or Remote",2020-Mar-06
14,Digital,Media Producer,https://boards.greenhouse.io/bernie2020/jobs/4529344002,4529344002,Washington D.C.,2020-Mar-06
15,Fundraising,Campaign Merchandise Assistant,https://boards.greenhouse.io/bernie2020/jobs/4521088002,4521088002,Vermont,2020-Mar-06
16,Operations,Human Resources Generalist,https://boards.greenhouse.io/bernie2020/jobs/4526885002,4526885002,Washington DC,2020-Mar-06
17,Operations,Payroll Manager,https://boards.greenhouse.io/bernie2020/jobs/4526889002,4526889002,"Washington, DC",2020-Mar-06
18,Organizing,Call Team National Organizer,https://boards.greenhouse.io/bernie2020/jobs/4489856002,4489856002,Remote,2020-Mar-06
19,Organizing,Events Program Organizer ,https://boards.greenhouse.io/bernie2020/jobs/4284535002,4284535002,Remote,2020-Mar-06
20,Organizing,National Deputy Field Organizer (DFO) Program Manager,https://boards.greenhouse.io/bernie2020/jobs/4529356002,4529356002,Washington DC,2020-Mar-06
21,Organizing,National Field Desk ,https://boards.greenhouse.io/bernie2020/jobs/4284529002,4284529002,"Washington, DC",2020-Mar-06
22,Organizing,State Field Director (Alabama) ,https://boards.greenhouse.io/bernie2020/jobs/4518769002,4518769002,Alabama,2020-Mar-06
23,Organizing,State Field Director (Arkansas) ,https://boards.greenhouse.io/bernie2020/jobs/4518778002,4518778002,Arkansas,2020-Mar-06
24,Organizing,State Field Director (Florida) ,https://boards.greenhouse.io/bernie2020/jobs/4519239002,4519239002,Florida,2020-Mar-06
25,Organizing,State Field Director (Maine) ,https://boards.greenhouse.io/bernie2020/jobs/4519223002,4519223002,Maine,2020-Mar-06
26,Organizing,State Field Director (Massachusetts) ,https://boards.greenhouse.io/bernie2020/jobs/4519222002,4519222002,Massachusetts,2020-Mar-06
27,Organizing,State Field Director (North Carolina) ,https://boards.greenhouse.io/bernie2020/jobs/4519230002,4519230002,North Carolina,2020-Mar-06
28,Organizing,State Field Director (Tennessee) ,https://boards.greenhouse.io/bernie2020/jobs/4519233002,4519233002,Tennessee,2020-Mar-06
29,Organizing,State Field Director (Utah) ,https://boards.greenhouse.io/bernie2020/jobs/4521090002,4521090002,Utah,2020-Mar-06
30,Organizing,State Field Director (Virginia) ,https://boards.greenhouse.io/bernie2020/jobs/4519235002,4519235002,Virginia,2020-Mar-06
31,Organizing,Text Team National Organizer,https://boards.greenhouse.io/bernie2020/jobs/4259989002,4259989002,Remote,2020-Mar-06
